Date&Time,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2008-02-18,40200.0,40693.0,37716.0,37870.0,40928
2008-02-25,38300.0,38550.0,34000.0,34015.01,51371
2008-03-03,33444.0,34200.0,30800.0,31621.11,61166
2008-03-10,31520.0,34387.0,31412.05,33530.0,38359
2008-03-17,33000.0,33000.0,31370.01,32090.0,20950
2008-03-24,32050.0,33400.0,31740.0,32930.0,16790
2008-03-31,32500.0,33899.99,31531.03,31565.02,28016
2008-04-07,31600.0,32209.43,30600.0,30850.0,28433
2008-04-14,30550.01,30600.0,29070.0,29690.0,20050
2008-04-21,29890.0,30340.0,29450.0,29602.33,29399
2008-04-28,29582.48,29700.0,28705.0,29579.0,11412
2008-05-05,29550.0,31450.0,29000.0,30900.0,52917
2008-05-12,30949.99,38000.0,30789.18,36399.0,126371
2008-05-19,36600.0,36799.88,33800.0,34250.0,38011
2008-05-26,34000.0,36820.0,33371.01,36489.99,31769
2008-06-02,36460.0,37200.0,34505.0,34707.0,34495
2008-06-09,34988.99,35494.82,33800.0,33810.0,10729
2008-06-16,34025.0,35000.01,32751.0,33100.11,36393
2008-06-23,33000.01,33100.0,31600.01,31900.0,24367
2008-06-30,31925.0,32249.99,30050.0,30244.99,23068
2008-07-07,30250.0,30840.03,27460.0,27460.0,42567
2008-07-14,27390.0,28350.0,27000.01,28150.0,36788
2008-07-21,28586.0,33350.0,28150.0,31700.0,94434
2008-07-28,31807.0,31980.0,28601.02,28999.99,36889
2008-08-04,28705.0,28900.0,24600.06,24707.01,41985
2008-08-11,24707.0,27990.95,19000.0,26350.0,43448
2008-08-18,26599.0,26840.0,23900.0,24800.0,18794
2008-08-25,24801.0,25300.0,20720.0,25210.0,26221
2008-09-01,25197.0,26800.01,20505.0,21290.0,29487
2008-09-08,22000.0,22500.0,16100.0,17200.0,60422
2008-09-15,16800.0,17094.0,9501.0,13776.96,41344
2008-09-22,14199.0,17498.95,13801.0,16900.0,44489
2008-09-29,16780.0,18199.0,12000.0,15000.0,42369
2008-10-06,14501.1,14501.1,9700.0,10700.0,21349
2008-10-13,11000.0,11955.0,8200.0,8898.0,28879
2008-10-20,9000.0,9900.0,6050.0,6050.0,29862
2008-10-27,6716.0,9850.0,5811.0,9450.0,58954
2008-11-03,9924.0,10800.0,8460.0,9251.0,29636
2008-11-10,9800.0,9985.0,6200.0,7140.0,23996
2008-11-17,7100.58,7550.0,6515.06,7188.0,17104
2008-11-24,7385.0,8130.0,6301.0,6984.0,60458
2008-12-01,6802.01,6999.0,6412.0,6800.0,19369
2008-12-08,7300.0,8087.99,7068.0,7420.1,34419
2008-12-15,7675.0,8023.7,7009.97,7449.99,30368
2008-12-22,7450.02,7937.9,7011.11,7011.11,20562
2008-12-29,7111.11,7383.58,6700.0,6925.43,8076
2009-01-05,7209.99,7210.0,6878.0,6899.98,2672
2009-01-12,6850.0,7300.0,6700.01,6900.0,21408
2009-01-19,6971.31,7044.3,5994.0,6122.96,14291
2009-01-26,6102.0,6670.0,6101.01,6599.9,37398
2009-02-02,6538.39,7315.0,6301.0,7270.0,18976
2009-02-09,7220.0,8770.0,7150.0,8439.0,47700
2009-02-16,8440.0,9200.0,7130.0,7205.55,65677
2009-02-23,7070.0,7559.98,6930.01,7080.0,34982
2009-03-02,6910.0,7348.98,6758.03,7245.99,30190
2009-03-09,7250.01,7948.0,7250.01,7668.78,51949
2009-03-16,7650.0,9480.0,7000.0,9299.99,85262
2009-03-23,9500.0,9945.0,8905.01,9300.0,57965
2009-03-30,9112.13,9675.8,8616.15,9325.03,32580
2009-04-06,9550.0,12800.0,9550.0,12300.0,134317
2009-04-13,12200.0,14590.0,11935.0,13705.0,124919
2009-04-20,13704.99,13705.0,11911.0,12898.0,57501
2009-04-27,12800.0,13990.0,11850.03,13538.51,37511
2009-05-04,13750.0,15390.0,13700.0,14516.0,126480
2009-05-11,14420.0,16600.0,14089.19,15040.0,81467
2009-05-18,14900.0,15439.99,14500.0,14570.0,58954
2009-05-25,14660.48,17099.97,14602.31,16750.0,128746
2009-06-01,17150.0,18500.0,16345.0,17050.0,77292
2009-06-08,16900.0,19150.0,16657.0,19110.0,48197
2009-06-15,18800.0,21200.0,18001.01,18107.8,91493
2009-06-22,18398.0,18600.0,15282.9,15339.99,74582
2009-06-29,15300.0,16323.13,14800.01,15300.0,61551
2009-07-06,14905.5,15179.98,13235.0,13598.0,36411
2009-07-13,13235.0,15449.96,12950.3,15299.99,63845
2009-07-20,15498.0,16414.0,14600.0,16300.14,85865
2009-07-27,16450.0,16953.14,14709.74,15500.0,69904
2009-08-03,15700.0,16400.0,15450.0,16230.0,69638
2009-08-10,16280.0,18900.0,14859.33,17689.0,112898
2009-08-17,17350.0,18879.98,17000.15,18648.0,71180
2009-08-24,18850.0,20107.14,18200.0,19502.01,74135
2009-08-31,19002.01,20897.94,19002.01,19900.0,127745
2009-09-07,20200.0,21850.0,20090.0,21700.0,52951
2009-09-14,21200.02,25149.01,21000.0,25102.0,62088
2009-09-21,25062.02,25062.02,23260.0,23499.98,43647
2009-09-28,23235.0,25448.99,22770.0,23799.99,47313
2009-10-05,23750.0,26280.9,23355.62,25850.0,45333
2009-10-12,26000.0,29000.0,25950.06,27550.09,76843
2009-10-19,27900.0,30000.0,27650.01,27750.0,53762
2009-10-26,27470.0,28474.97,24361.0,24650.0,56943
2009-11-02,24480.0,25499.0,23250.05,23500.0,42964
2009-11-09,24000.0,25481.0,22005.01,22704.0,106116
2009-11-16,23100.0,23644.85,21451.0,21953.86,100235
2009-11-23,22273.86,22489.0,19500.0,21830.0,79372
2009-11-30,22100.01,22200.0,20700.0,21592.76,104630
2009-12-07,21376.0,21799.99,20750.01,21120.0,53155
2009-12-14,21349.99,24888.34,21152.0,24398.99,189547
2009-12-21,24674.95,24820.0,23101.0,24090.0,55683
2009-12-28,24245.0,24549.18,23437.07,23570.16,29456
2010-01-11,24340.0,25949.99,24050.0,25900.0,91581
2010-01-18,25770.0,28246.7,25203.51,25699.0,135013
2010-01-25,25255.05,25880.0,24551.12,25390.0,79564
2010-02-01,25000.0,26890.0,23780.0,24237.0,74914
2010-02-08,24124.01,24679.0,22750.0,22989.98,75020
2010-02-15,23098.96,24959.0,22705.0,23837.0,63713
2010-02-22,23811.0,23967.0,23007.84,23623.99,27825
2010-03-01,23769.5,25698.99,23505.33,25285.17,74936
2010-03-08,25230.0,25400.0,24347.01,24869.99,63041
2010-03-15,24750.0,25999.99,24670.0,25529.99,75891
2010-03-22,25270.0,30949.0,24904.76,30300.0,226848
2010-03-29,30199.99,36500.0,28750.0,36000.0,293318
2010-04-05,36141.0,40717.0,33700.0,37450.0,452679
2010-04-12,38295.4,39241.69,33937.76,34000.0,275493
2010-04-19,33200.0,33927.0,32100.0,32781.0,198532
2010-04-26,33003.0,33819.13,30350.09,31826.01,188814
2010-05-03,32195.0,33621.21,25111.0,25550.0,231855
2010-05-10,26738.0,29800.0,25550.2,28100.0,260867
2010-05-17,27250.0,29440.31,25555.55,26715.0,274926
2010-05-24,26980.0,27495.0,24310.01,26050.0,207637
2010-05-31,25980.0,28181.99,25750.01,27000.0,210408
2010-06-07,26284.6,27020.01,25522.02,25839.99,149178
2010-06-14,26000.0,26888.0,25812.0,26400.0,88183
2010-06-21,26740.0,29700.0,26635.0,28444.0,336522
2010-06-28,28612.0,29297.99,25500.0,26700.0,149951
2010-07-05,26655.0,28400.0,26301.01,27851.0,128660
2010-07-12,27736.79,29200.02,26811.0,27050.01,123052
2010-07-19,26776.0,28200.0,26776.0,27752.0,72823
2010-07-26,28200.0,34375.0,28156.0,34278.0,533333
2010-08-02,34900.0,35777.0,31715.0,31749.0,253341
2010-08-09,32050.0,32255.93,30010.05,30800.0,163993
2010-08-16,31025.0,31955.0,29878.01,31650.04,169311
2010-08-23,31801.0,34350.0,31230.2,33340.0,274783
2010-08-30,33940.0,33985.0,32210.0,33049.99,174867
2010-09-06,33330.0,34550.0,32248.38,34144.0,115591
2010-09-13,34600.0,36170.0,33567.89,34200.01,221585
2010-09-20,34321.42,35350.0,33502.23,34499.0,106335
2010-09-27,34876.0,35098.86,32800.0,33920.0,122952
2010-10-04,34100.0,35489.0,33650.0,34198.96,112573
2010-10-11,34377.5,37688.0,34125.0,37097.87,195850
2010-10-18,36796.0,38975.0,35170.0,36240.98,332353
2010-10-25,36468.98,37951.0,36156.15,36835.2,132393
2010-11-01,37100.0,37450.0,35933.47,36200.0,42303
2010-11-08,36900.0,39700.0,35652.17,39195.0,254516
2010-11-15,39587.0,40850.0,38650.0,39590.0,182896
2010-11-22,39899.0,40711.0,39066.67,40650.0,81019
2010-11-29,40820.0,41877.0,39730.0,41400.0,199038
2010-12-06,41400.12,42300.02,40876.0,41352.0,68620
2010-12-13,41629.09,41771.65,40900.0,41500.0,38589
2010-12-20,41529.9,41698.62,39888.88,40080.0,33953
2010-12-27,40005.0,40442.0,37190.61,37795.0,80302
2011-01-10,38008.0,41068.75,37821.95,40130.0,73816
2011-01-17,40130.0,40700.0,39100.0,39710.0,52572
2011-01-24,39832.16,39900.0,38211.14,38396.09,46358
2011-01-31,38004.92,40528.49,37513.39,39499.96,81234
2011-02-07,39505.0,39599.7,37061.72,38800.0,64113
2011-02-14,38900.0,39620.39,38162.0,38650.0,47789
2011-02-21,38838.76,40000.0,38520.69,39950.0,76379
2011-02-28,39960.01,41380.0,39801.0,40498.0,78801
2011-03-07,40467.0,40960.0,39033.0,39650.0,29292
2011-03-14,39499.0,40140.0,38230.0,38460.0,65746
2011-03-21,38690.0,39650.0,38120.0,39505.0,49482
2011-03-28,39276.0,42733.0,39276.0,42400.0,151440
2011-04-04,42502.0,46644.0,42334.0,46120.0,181705
2011-04-11,46428.0,46579.0,42364.0,43016.0,125609
2011-04-18,43153.0,43444.0,39111.0,42516.0,111527
2011-04-25,42500.0,42997.0,39780.0,40440.0,51309
2011-05-02,40300.0,41050.0,37202.0,38960.0,62867
2011-05-09,38700.0,40299.0,38156.0,39250.0,46495
2011-05-16,38950.0,39990.0,38403.0,38403.0,52616
2011-05-23,38027.0,39100.0,37011.0,38555.0,66779
2011-05-30,38550.0,42988.0,38301.0,41800.0,117279
2011-06-06,41850.0,43000.0,41155.0,42600.0,49324
2011-06-13,42698.0,44500.0,42250.0,42787.0,52216
2011-06-20,42597.0,42598.0,40253.0,40899.0,36692
2011-06-27,40517.0,41440.0,39877.0,41102.0,55034
2011-07-04,41294.0,43000.0,41001.0,42240.0,46072
2011-07-11,41900.0,43639.0,40316.0,42400.0,43224
2011-07-18,42538.0,43247.0,41442.0,43134.0,35333
2011-07-25,42823.0,44950.0,42623.0,43917.0,57160
2011-08-01,44438.0,44889.0,38100.0,39800.0,82430
2011-08-08,38621.0,39383.0,31800.0,36299.0,136642
2011-08-15,36950.0,39300.0,34906.0,35781.0,81757
2011-08-22,35401.0,38390.0,34500.0,38253.0,90637
2011-08-29,38676.0,40100.0,38205.0,38969.0,73251
2011-09-05,38277.0,38888.0,36760.0,37452.0,80424
2011-09-12,36980.0,38200.0,36123.0,36455.0,91915
2011-09-19,36455.0,37175.0,29300.0,29854.0,87188
2011-09-26,28990.0,33356.0,28126.0,32560.0,130213
2011-10-03,31700.0,32308.0,28586.0,30406.0,91661
2011-10-10,30701.0,32490.0,30355.0,30510.0,112210
